dup_id,canonical_id,rule,score
CHEMBL2069956,CHEMBL1241489,InChIKeyFull,1.0
CHEMBL432377,CHEMBL124169,InChIKeyFull,1.0
CHEMBL2013119,CHEMBL1241855,InChIKeyFull,1.0
CHEMBL3183055,CHEMBL12420,InChIKeyFull,1.0
CHEMBL5398630,CHEMBL12420,InChIKeyFull,1.0
CHEMBL2069950,CHEMBL1242384,InChIKeyFull,1.0
CHEMBL2069959,CHEMBL1242754,InChIKeyFull,1.0
CHEMBL134002,CHEMBL1242959,InChIKeyFull,1.0
CHEMBL602962,CHEMBL12442,InChIKeyFull,1.0
CHEMBL555571,CHEMBL124642,InChIKeyFull,1.0
CHEMBL1253474,CHEMBL1253473,InChIKeyFull,1.0
CHEMBL5076917,CHEMBL1253853,InChIKeyFull,1.0
CHEMBL1254291,CHEMBL1254018,InChIKeyFull,1.0
CHEMBL3216989,CHEMBL1254650,InChIKeyFull,1.0
CHEMBL24938,CHEMBL1255589,InChIKeyFull,1.0
CHEMBL9485,CHEMBL1255589,InChIKeyFull,1.0
CHEMBL573214,CHEMBL1255661,InChIKeyFull,1.0
CHEMBL12587,CHEMBL1255785,InChIKeyFull,1.0
CHEMBL285755,CHEMBL1255966,InChIKeyFull,1.0
CHEMBL7890,CHEMBL1256014,InChIKeyFull,1.0
CHEMBL407489,CHEMBL1256191,InChIKeyFull,1.0
CHEMBL356703,CHEMBL1256354,InChIKeyFull,1.0
CHEMBL4872783,CHEMBL1256415,InChIKeyFull,1.0
CHEMBL13668,CHEMBL1256645,InChIKeyFull,1.0
CHEMBL1814790,CHEMBL1256645,InChIKeyFull,1.0
CHEMBL62,CHEMBL1256645,InChIKeyFull,1.0
CHEMBL73234,CHEMBL1256696,InChIKeyFull,1.0
CHEMBL93240,CHEMBL1256737,InChIKeyFull,1.0
CHEMBL25856,CHEMBL1256832,InChIKeyFull,1.0
CHEMBL43345,CHEMBL1256832,InChIKeyFull,1.0
CHEMBL282199,CHEMBL1256844,InChIKeyFull,1.0
CHEMBL18840,CHEMBL1256863,InChIKeyFull,1.0
CHEMBL291143,CHEMBL1256876,InChIKeyFull,1.0
CHEMBL310934,CHEMBL1256915,InChIKeyFull,1.0
CHEMBL303336,CHEMBL1256916,InChIKeyFull,1.0
CHEMBL679,CHEMBL1256958,InChIKeyFull,1.0
CHEMBL68131,CHEMBL1256998,InChIKeyFull,1.0
CHEMBL19130,CHEMBL1257041,InChIKeyFull,1.0
CHEMBL125937,CHEMBL125766,InChIKeyFull,1.0
CHEMBL216543,CHEMBL126077,InChIKeyFull,1.0
CHEMBL190880,CHEMBL126602,InChIKeyFull,1.0
CHEMBL147186,CHEMBL1269257,InChIKeyFull,1.0
CHEMBL1269532,CHEMBL1269520,InChIKeyFull,1.0
CHEMBL1269533,CHEMBL1269521,InChIKeyFull,1.0
CHEMBL1269535,CHEMBL1269521,InChIKeyFull,1.0
CHEMBL1269534,CHEMBL1269522,InChIKeyFull,1.0
CHEMBL1269536,CHEMBL1269524,InChIKeyFull,1.0
CHEMBL1269537,CHEMBL1269527,InChIKeyFull,1.0
CHEMBL4296720,CHEMBL1270282,InChIKeyFull,1.0
CHEMBL4296721,CHEMBL1270475,InChIKeyFull,1.0
CHEMBL55734,CHEMBL127378,InChIKeyFull,1.0
CHEMBL531,CHEMBL1275,InChIKeyFull,1.0
CHEMBL1973540,CHEMBL1276446,InChIKeyFull,1.0
CHEMBL340888,CHEMBL127745,InChIKeyFull,1.0
CHEMBL2138684,CHEMBL1279,InChIKeyFull,1.0
CHEMBL6966,CHEMBL1280,InChIKeyFull,1.0
CHEMBL414012,CHEMBL128033,InChIKeyFull,1.0
CHEMBL14638,CHEMBL128672,InChIKeyFull,1.0
CHEMBL1795025,CHEMBL128672,InChIKeyFull,1.0
CHEMBL541091,CHEMBL128860,InChIKeyFull,1.0
CHEMBL3426917,CHEMBL1289494,InChIKeyFull,1.0
CHEMBL1988437,CHEMBL1289926,InChIKeyFull,1.0
CHEMBL3251356,CHEMBL129190,InChIKeyFull,1.0
