a,b,rule,fp
CHEMBL17383,CHEMBL106628,FP,1.0
CHEMBL106628,CHEMBL17383,FP,1.0
CHEMBL1788222,CHEMBL106737,FP,1.0
CHEMBL1788222,CHEMBL2092926,FP,1.0
CHEMBL106737,CHEMBL1788222,FP,1.0
CHEMBL106737,CHEMBL2092926,FP,1.0
CHEMBL2092926,CHEMBL1788222,FP,1.0
CHEMBL2092926,CHEMBL106737,FP,1.0
CHEMBL1214117,CHEMBL106853,FP,1.0
CHEMBL106853,CHEMBL1214117,FP,1.0
CHEMBL110619,CHEMBL107040,FP,1.0
CHEMBL107040,CHEMBL110619,FP,1.0
CHEMBL107188,CHEMBL322901,FP,1.0
CHEMBL322901,CHEMBL107188,FP,1.0
CHEMBL961,CHEMBL107217,FP,1.0
CHEMBL107217,CHEMBL961,FP,1.0
CHEMBL108893,CHEMBL107288,FP,1.0
CHEMBL107288,CHEMBL108893,FP,1.0
CHEMBL107486,CHEMBL148397,FP,1.0
CHEMBL107486,CHEMBL147692,FP,1.0
CHEMBL148397,CHEMBL107486,FP,1.0
CHEMBL148397,CHEMBL147692,FP,1.0
CHEMBL147692,CHEMBL107486,FP,1.0
CHEMBL147692,CHEMBL148397,FP,1.0
CHEMBL107492,CHEMBL92183,FP,1.0
CHEMBL92183,CHEMBL107492,FP,1.0
CHEMBL28509,CHEMBL107514,FP,1.0
CHEMBL28509,CHEMBL3350507,FP,1.0
CHEMBL107514,CHEMBL28509,FP,1.0
CHEMBL107514,CHEMBL3350507,FP,1.0
CHEMBL3350507,CHEMBL28509,FP,1.0
CHEMBL3350507,CHEMBL107514,FP,1.0
CHEMBL1076546,CHEMBL212643,FP,1.0
CHEMBL1076546,CHEMBL1076181,FP,1.0
CHEMBL212643,CHEMBL1076546,FP,1.0
CHEMBL212643,CHEMBL1076181,FP,1.0
CHEMBL1076181,CHEMBL1076546,FP,1.0
CHEMBL1076181,CHEMBL212643,FP,1.0
CHEMBL107627,CHEMBL262805,FP,1.0
CHEMBL107627,CHEMBL318352,FP,1.0
CHEMBL262805,CHEMBL107627,FP,1.0
