bucket_id,member
CHEMBL91417,CHEMBL91416
CHEMBL91417,CHEMBL91417
CHEMBL43711,CHEMBL43711
CHEMBL43711,CHEMBL42370
CHEMBL4249022,CHEMBL4249022
CHEMBL4249022,CHEMBL4246480
CHEMBL467134,CHEMBL467134
CHEMBL467134,CHEMBL442642
CHEMBL4537546,CHEMBL4537546
CHEMBL4537546,CHEMBL4441603
CHEMBL4526832,CHEMBL4445462
CHEMBL4526832,CHEMBL4443919
CHEMBL4526832,CHEMBL4453109
CHEMBL4526832,CHEMBL4466126
CHEMBL4526832,CHEMBL4483317
CHEMBL4526832,CHEMBL4521831
CHEMBL4526832,CHEMBL4526832
CHEMBL469433,CHEMBL4463619
CHEMBL469433,CHEMBL461167
CHEMBL469433,CHEMBL469433
CHEMBL451044,CHEMBL451044
CHEMBL451044,CHEMBL98610
CHEMBL545673,CHEMBL545673
CHEMBL545673,CHEMBL451666
CHEMBL4588956,CHEMBL4588956
CHEMBL4588956,CHEMBL4534493
CHEMBL462807,CHEMBL462807
CHEMBL462807,CHEMBL461628
CHEMBL463134,CHEMBL463134
CHEMBL463134,CHEMBL463133
CHEMBL69700,CHEMBL468880
CHEMBL69700,CHEMBL6607
CHEMBL69700,CHEMBL69700
CHEMBL475341,CHEMBL475341
CHEMBL475341,CHEMBL79140
CHEMBL484261,CHEMBL484261
CHEMBL484261,CHEMBL96417
CHEMBL5200566,CHEMBL5187984
CHEMBL5200566,CHEMBL5170598
CHEMBL5200566,CHEMBL5200566
CHEMBL86201,CHEMBL86201
CHEMBL86201,CHEMBL51715
CHEMBL5201033,CHEMBL5201033
CHEMBL5201033,CHEMBL5194056
CHEMBL55110,CHEMBL55110
CHEMBL55110,CHEMBL54904
CHEMBL576622,CHEMBL565593
CHEMBL576622,CHEMBL565382
CHEMBL576622,CHEMBL576622
CHEMBL87046,CHEMBL87046
CHEMBL87046,CHEMBL86468
CHEMBL99810,CHEMBL95959
CHEMBL99810,CHEMBL95916
CHEMBL99810,CHEMBL99810
CHEMBL103228,CHEMBL103228
CHEMBL103228,CHEMBL93413
CHEMBL1812741,CHEMBL1812741
CHEMBL1812741,CHEMBL317904
CHEMBL317284,CHEMBL317284
CHEMBL317284,CHEMBL316528
CHEMBL100666,CHEMBL100666
CHEMBL100666,CHEMBL98472
CHEMBL102115,CHEMBL102115
CHEMBL102115,CHEMBL100672
CHEMBL327374,CHEMBL327374
CHEMBL327374,CHEMBL92158
CHEMBL91843,CHEMBL91843
CHEMBL91843,CHEMBL91837
CHEMBL266314,CHEMBL266314
CHEMBL266314,CHEMBL1007
CHEMBL1079742,CHEMBL1079742
CHEMBL1079742,CHEMBL553
CHEMBL1204168,CHEMBL1204168
CHEMBL1204168,CHEMBL29197
CHEMBL1204199,CHEMBL1204199
CHEMBL1204199,CHEMBL35820
CHEMBL3221560,CHEMBL3221560
CHEMBL3221560,CHEMBL2018752
CHEMBL3221544,CHEMBL3221544
CHEMBL3221544,CHEMBL2018769
CHEMBL3221548,CHEMBL3221548
CHEMBL3221548,CHEMBL2018777
CHEMBL3221543,CHEMBL3221543
CHEMBL3221543,CHEMBL2018879
CHEMBL208118,CHEMBL208118
CHEMBL208118,CHEMBL207687
CHEMBL3221268,CHEMBL3221268
CHEMBL3221268,CHEMBL3221267
CHEMBL329642,CHEMBL329642
CHEMBL329642,CHEMBL93464
CHEMBL3357655,CHEMBL3357655
CHEMBL3357655,CHEMBL3357654
CHEMBL3633761,CHEMBL3633761
CHEMBL3633761,CHEMBL3633760
CHEMBL3633765,CHEMBL3633765
CHEMBL3633765,CHEMBL3633764
CHEMBL3633769,CHEMBL3633769
CHEMBL3633769,CHEMBL3633768
CHEMBL3759186,CHEMBL3759186
CHEMBL3759186,CHEMBL3758697
CHEMBL3759261,CHEMBL3759261
CHEMBL3759261,CHEMBL3758839
CHEMBL3774993,CHEMBL3774993
CHEMBL3774993,CHEMBL3774858
CHEMBL3775654,CHEMBL3775654
CHEMBL3775654,CHEMBL3774890
CHEMBL3775539,CHEMBL3775539
CHEMBL3775539,CHEMBL3774994
CHEMBL3775817,CHEMBL3775817
CHEMBL3775817,CHEMBL3775409
CHEMBL3901210,CHEMBL3901210
CHEMBL3901210,CHEMBL597569
CHEMBL3959043,CHEMBL3959043
CHEMBL3959043,CHEMBL598798
CHEMBL3985245,CHEMBL3985245
CHEMBL3985245,CHEMBL596754
CHEMBL4090083,CHEMBL4069003
CHEMBL4090083,CHEMBL4060320
CHEMBL4090083,CHEMBL4090083
CHEMBL4092962,CHEMBL4065296
CHEMBL4092962,CHEMBL4063272
CHEMBL4092962,CHEMBL4092962
CHEMBL4091999,CHEMBL4075557
CHEMBL4091999,CHEMBL4071178
CHEMBL4091999,CHEMBL4076232
CHEMBL4091999,CHEMBL4091999
CHEMBL4102495,CHEMBL4102495
CHEMBL4102495,CHEMBL4073184
CHEMBL4091626,CHEMBL4091626
CHEMBL4091626,CHEMBL4079768
CHEMBL4096662,CHEMBL4096662
CHEMBL4096662,CHEMBL4090977
CHEMBL4577883,CHEMBL4577883
CHEMBL4577883,CHEMBL4443188
CHEMBL4591414,CHEMBL4591414
CHEMBL4591414,CHEMBL4468146
CHEMBL540068,CHEMBL540068
CHEMBL540068,CHEMBL7917
CHEMBL598610,CHEMBL598163
CHEMBL598610,CHEMBL596736
CHEMBL598610,CHEMBL598377
CHEMBL598610,CHEMBL598610
CHEMBL599398,CHEMBL598611
CHEMBL599398,CHEMBL598164
CHEMBL599398,CHEMBL598797
CHEMBL599398,CHEMBL599398
CHEMBL100818,CHEMBL100818
CHEMBL100818,CHEMBL99780
CHEMBL1907916,CHEMBL1907916
CHEMBL1907916,CHEMBL282499
CHEMBL101231,CHEMBL101231
CHEMBL101231,CHEMBL100890
CHEMBL388545,CHEMBL388545
CHEMBL388545,CHEMBL100941
CHEMBL100989,CHEMBL100989
CHEMBL100989,CHEMBL99622
CHEMBL305275,CHEMBL305275
CHEMBL305275,CHEMBL101008
CHEMBL102081,CHEMBL102081
CHEMBL102081,CHEMBL101030
CHEMBL420007,CHEMBL420007
CHEMBL420007,CHEMBL101054
CHEMBL308608,CHEMBL308608
CHEMBL308608,CHEMBL15944
CHEMBL76161,CHEMBL327289
CHEMBL76161,CHEMBL21536
CHEMBL76161,CHEMBL327754
CHEMBL76161,CHEMBL75552
CHEMBL76161,CHEMBL76161
CHEMBL309093,CHEMBL308381
CHEMBL309093,CHEMBL73338
CHEMBL309093,CHEMBL309093
CHEMBL252720,CHEMBL1201066
CHEMBL252720,CHEMBL637
CHEMBL252720,CHEMBL252720
CHEMBL2092896,CHEMBL2092896
CHEMBL2092896,CHEMBL1946088
CHEMBL2092897,CHEMBL2092897
CHEMBL2092897,CHEMBL1946177
CHEMBL285898,CHEMBL285898
CHEMBL285898,CHEMBL24369
CHEMBL377199,CHEMBL377199
CHEMBL377199,CHEMBL209610
CHEMBL1200406,CHEMBL1200406
CHEMBL1200406,CHEMBL657
CHEMBL1200871,CHEMBL1200871
CHEMBL1200871,CHEMBL1382
CHEMBL1672355,CHEMBL1201192
CHEMBL1672355,CHEMBL1373
CHEMBL1672355,CHEMBL1672355
CHEMBL403885,CHEMBL272304
CHEMBL403885,CHEMBL197589
CHEMBL403885,CHEMBL272502
CHEMBL403885,CHEMBL403670
CHEMBL403885,CHEMBL403885
CHEMBL347036,CHEMBL347036
CHEMBL347036,CHEMBL282567
CHEMBL513957,CHEMBL513957
CHEMBL513957,CHEMBL488313
CHEMBL101253,CHEMBL101253
CHEMBL101253,CHEMBL75232
CHEMBL575403,CHEMBL536535
CHEMBL575403,CHEMBL101299
CHEMBL575403,CHEMBL575403
CHEMBL5433552,CHEMBL5427399
CHEMBL5433552,CHEMBL5403924
CHEMBL5433552,CHEMBL5433552
CHEMBL5424724,CHEMBL5424724
CHEMBL5424724,CHEMBL5418300
CHEMBL5440597,CHEMBL5440597
CHEMBL5440597,CHEMBL5432341
CHEMBL1705,CHEMBL1705
CHEMBL1705,CHEMBL134
